id,company_id,deal_id,call_date,duration_min,phase,type,notes,scheduled_at,prep_notes,ai_summary
1917896d-c0d1-44a3-8e8c-0b39c235e61e,42c1f1c3-f29f-41be-b8f6-bdb9fe9e0438,58931704-d3e7-4512-814c-571570f38cab,2018-10-03,30,pre_sale,discovery,,,,Technical deep-dive on data modeling capabilities. Engineering team impressed.
47dbd282-b745-467a-9b66-9922ca3cfda5,42c1f1c3-f29f-41be-b8f6-bdb9fe9e0438,58931704-d3e7-4512-814c-571570f38cab,2018-10-11,30,pre_sale,demo,,,,Mobile access requirements gathering. Field team needs dashboard access.
e6ba5e18-5b23-4f88-a083-5dc9d1b322ee,42c1f1c3-f29f-41be-b8f6-bdb9fe9e0438,58931704-d3e7-4512-814c-571570f38cab,2018-10-31,45,pre_sale,evaluation,,,,
8585538f-a4da-4be7-9712-ba5b23f031c3,42c1f1c3-f29f-41be-b8f6-bdb9fe9e0438,58931704-d3e7-4512-814c-571570f38cab,2018-11-11,90,pre_sale,negotiation,,,,Competitive evaluation update. Comparing with Looker on embedded analytics.
e4feba65-7488-40c2-9972-6fd950e3b52e,42c1f1c3-f29f-41be-b8f6-bdb9fe9e0438,,2018-11-28,45,post_sale,onboarding,,,,
78933304-19dc-4c17-ad2a-c01fe022ce2c,42c1f1c3-f29f-41be-b8f6-bdb9fe9e0438,,2018-12-22,90,post_sale,check_in,,,,
5e0376c7-b25f-42d6-b5fe-2f059ff9ef22,42c1f1c3-f29f-41be-b8f6-bdb9fe9e0438,,2019-01-04,90,post_sale,check_in,,,,
ffebabcc-97d6-4c95-a58f-ce799d37c08b,42c1f1c3-f29f-41be-b8f6-bdb9fe9e0438,,2019-01-28,90,post_sale,check_in,,,,
97f8e93e-7d09-41bd-b4ec-51a4837239a3,42c1f1c3-f29f-41be-b8f6-bdb9fe9e0438,,2019-02-03,45,post_sale,check_in,,,,
d412fed2-8b89-4f23-909d-33771a335073,42c1f1c3-f29f-41be-b8f6-bdb9fe9e0438,,2019-02-22,45,post_sale,check_in,,,,
db29d6ce-8118-44fe-ad2d-811030c7e340,28c7f5ae-4524-41ea-81bb-7095fdb1c200,bef1873c-b000-41c2-8d7e-a599a5a85cd0,2019-05-31,90,pre_sale,discovery,,,,Technical deep-dive on data modeling capabilities. Engineering team impressed.
55345b46-9426-4c95-a149-4737d92fc890,28c7f5ae-4524-41ea-81bb-7095fdb1c200,bef1873c-b000-41c2-8d7e-a599a5a85cd0,2019-06-07,45,pre_sale,demo,,,,Performance optimization discussion. Query caching recommendations provided.
21f1c6a8-29a3-4c9b-af3d-7e5e10c4f0be,28c7f5ae-4524-41ea-81bb-7095fdb1c200,bef1873c-b000-41c2-8d7e-a599a5a85cd0,2019-06-22,30,pre_sale,evaluation,,,,Performance optimization discussion. Query caching recommendations provided.
a0bcad69-c91d-41f4-b20c-69c8e5675b23,28c7f5ae-4524-41ea-81bb-7095fdb1c200,bef1873c-b000-41c2-8d7e-a599a5a85cd0,2019-07-10,30,pre_sale,negotiation,,,,Champion check-in. Internal adoption growing. Training session requested.
b9545e44-6584-45b0-83ac-149b6f852f01,28c7f5ae-4524-41ea-81bb-7095fdb1c200,,2019-07-28,30,post_sale,onboarding,,,,Performance optimization discussion. Query caching recommendations provided.
7d1909ad-26f2-4e51-82da-68044b4ff263,28c7f5ae-4524-41ea-81bb-7095fdb1c200,,2019-08-06,45,post_sale,check_in,,,,Reviewed pricing tiers and contract terms. Decision expected within 2 weeks.
