id,use_case_id,name,description,status,shipped_at
9422fe78-85aa-44b7-a2ac-69681cb55ac4,fc4a61cb-4d96-4686-a85f-4799a85a9b0c,Public dashboard links,Share a read-only dashboard with anyone via a link,shipped,2025-09-03
d812d7d2-58f7-474b-8c8b-aa919bde16de,fc4a61cb-4d96-4686-a85f-4799a85a9b0c,Password-protected embeds,Require a password to view an embedded dashboard,shipped,2025-12-15
9067fac3-479a-4757-9cf4-cebf26928823,fc4a61cb-4d96-4686-a85f-4799a85a9b0c,White-label embedding,Remove Holistics branding from embedded dashboards,planned,
0ffc87bf-0249-47b3-9494-50c57e17ee24,fc4a61cb-4d96-4686-a85f-4799a85a9b0c,Shared folders,Organize dashboards into team-accessible folders,shipped,2025-05-06
6e8258a0-feaa-49a4-a4d9-743482d50c3d,fc4a61cb-4d96-4686-a85f-4799a85a9b0c,Dashboard templates,Pre-built starter templates for common analytics,in_development,
cf167202-9b1e-40df-99e3-52bc692f9a62,4ddda5f7-ce64-4d90-8779-238424c82722,Column masking,Hide raw PII columns from analyst-level users,shipped,2026-02-24
d7695d2b-5c66-4047-9a3b-48ce077858c6,4ddda5f7-ce64-4d90-8779-238424c82722,Column-level permissions,Grant individual-level access to specific columns,planned,
902f554f-4769-4f45-85a1-018776af9d70,6719c56a-b36a-4a2d-b4fd-daefc50aa626,Dynamic row-level security,Filter rows based on user identity at query time,shipped,2025-08-31
cac5e419-a676-4dd5-8007-573a597f2dc9,6719c56a-b36a-4a2d-b4fd-daefc50aa626,User attribute filters,Parameterize RLS rules using user profile attributes,shipped,2025-10-27
84e440f8-cb31-4200-a100-112eaf399229,087ee3a1-eabd-4009-ae02-df20538e91bf,Smart query caching,Cache query results and invalidate on data refresh,shipped,2025-06-10
0a51c01f-3cef-443a-9365-d0cc6e8d0bad,087ee3a1-eabd-4009-ae02-df20538e91bf,Pre-built aggregates,Pre-compute complex aggregates at pipeline run time,in_development,
7a5f4404-2962-43f6-bb47-fb71bb5e355b,480d8c95-1470-4ecc-82a2-63d191447738,BigQuery connector,Native connection to Google BigQuery,shipped,2025-01-26
5e4f59d2-a2c0-4d51-b8a7-b9effabb7f1b,480d8c95-1470-4ecc-82a2-63d191447738,Snowflake connector,Native connection to Snowflake,shipped,2025-01-26
69533b0f-8ed1-4907-b6b6-3219ac6795cc,480d8c95-1470-4ecc-82a2-63d191447738,Redshift connector,Native connection to Amazon Redshift,shipped,2025-03-27
02ddeb1c-9a29-449d-9a44-b567af38e268,0b007e33-2179-4bcd-b2bb-783a8597ce5a,Embedding SDK,Embed Holistics dashboards in external products,shipped,2025-07-27
3303d3a3-ce76-477f-9dba-643f3bb4c5f3,0b007e33-2179-4bcd-b2bb-783a8597ce5a,REST API,Programmatic access to reports and data,planned,
d4cf7379-9d8e-4d16-8594-8a5f3183a6f2,9a28965a-993c-46b6-a324-ef2be18e0c18,SAML 2.0 integration,Enterprise SSO via SAML for IT-gated accounts,in_development,
089deb50-a8a2-481a-814a-9228580f569b,9a28965a-993c-46b6-a324-ef2be18e0c18,User activity log,Audit trail of user actions for compliance,shipped,2025-09-27
0784f03e-d991-43e4-9a73-52e082464570,645da331-866f-4175-81ea-519e51055cf6,Advanced editor for Data Modeling #0,Advanced editor capability in Data Modeling,in_development,
a2dbfea5-feef-4b25-ada3-1891850456cc,943394b6-0984-4f3d-9d8a-5be247845d70,Smart editor for Data Modeling #1,Smart editor capability in Data Modeling,shipped,2023-01-05
6aaee075-761a-4ad3-8818-3b4032d946e5,64a40557-9d97-40c0-8d5b-f595f66bd8fc,Bulk editor for Data Modeling #2,Bulk editor capability in Data Modeling,shipped,2022-01-07
8197d09d-1f46-428d-8deb-b99822098590,008b6e4e-e2bb-4ffb-bb1a-25995fc2610b,Custom editor for Data Modeling #3,Custom editor capability in Data Modeling,shipped,2021-02-12
c5a4f158-438d-485a-9788-c463b41008b9,1115cb64-cafe-40ea-83b3-e23700fb8229,Auto editor for Data Modeling #4,Auto editor capability in Data Modeling,shipped,2021-01-31
04ca488c-b9d4-46e1-a91c-77c14601ea54,1f327bd6-5ba8-4654-9c25-8ec9f9131942,Enhanced editor for Data Modeling #5,Enhanced editor capability in Data Modeling,shipped,2022-06-25
d0d0152d-31d3-4286-812a-654f7816d732,ad91fa43-b818-474c-bd71-067d54855193,Inline editor for Data Modeling #6,Inline editor capability in Data Modeling,shipped,2023-04-05
049f99d1-a1a9-4901-b7d9-285397c78bc0,c3cf567b-f12a-499c-98f0-193065b3b1d7,Live editor for Data Modeling #7,Live editor capability in Data Modeling,deprecated,2025-01-14
fdc30e23-60d4-48ea-b149-ed0155ffa616,36bcf275-4e58-48a0-a44a-5d06b9cd35af,Cached editor for Data Modeling #8,Cached editor capability in Data Modeling,deprecated,2025-02-05
d2312e54-2808-44f3-869b-5cd9ff1fb847,585f7d2b-8007-4976-ba6b-81696579a7e4,Async editor for Data Modeling #9,Async editor capability in Data Modeling,shipped,2022-05-04
c2b8d14d-2787-48d2-8c6b-796121d57fc8,446449c7-84cc-4bf7-8209-64cdf0e8df67,Advanced viewer for Data Modeling #10,Advanced viewer capability in Data Modeling,in_development,
31e69ba2-33bb-4922-9c03-7ee266a71629,4ca8c930-dd01-475b-aadc-cb8a8149a4a2,Smart viewer for Data Modeling #11,Smart viewer capability in Data Modeling,in_development,
fac5d527-fe79-4abb-a077-5a70bb94e868,c68e92a8-087a-486b-ad44-f646d7fb26bd,Bulk viewer for Data Modeling #12,Bulk viewer capability in Data Modeling,planned,
b303de05-d70b-4bcf-a466-cc77f5bf37a8,6abaa5f9-a142-421b-8c48-d05c0b2cbfe0,Custom viewer for Data Modeling #13,Custom viewer capability in Data Modeling,in_development,
21f47d5a-64b1-4579-82ab-a9fd63dab59a,6719c56a-b36a-4a2d-b4fd-daefc50aa626,Auto viewer for Data Modeling #14,Auto viewer capability in Data Modeling,shipped,2020-10-31
04bb0c66-d8e6-419e-b9a7-eede01c944c4,2008f817-d6cf-4b87-a677-ea19deb43b0e,Enhanced viewer for Data Modeling #15,Enhanced viewer capability in Data Modeling,shipped,2025-07-20
59dec10a-7962-4fbd-aa4e-53ff8331afbf,bdad2f6b-40bf-4704-896d-fbb70a67bc57,Inline viewer for Data Modeling #16,Inline viewer capability in Data Modeling,shipped,2021-04-14
666851d7-b2b2-4ac3-b248-15a8c781ba04,95f79681-01aa-4900-9144-16728d3d5477,Live viewer for Data Modeling #17,Live viewer capability in Data Modeling,planned,
0182405a-411f-49ba-80b4-71fc8928a8e6,7081fb77-bcaa-4ec0-8380-ba4d600f26f9,Cached viewer for Data Modeling #18,Cached viewer capability in Data Modeling,deprecated,2023-02-08
f6920483-e282-4c21-b8b6-2dd62ebdb295,6f71df6c-8e99-4f6e-9c51-fcf5c29eebbe,Async viewer for Data Modeling #19,Async viewer capability in Data Modeling,planned,
3c37cd42-49a7-4b8e-9724-e4d2ed198ada,7064e94a-a7b3-4e1b-8af2-6fff85cf25f7,Advanced builder for Data Modeling #20,Advanced builder capability in Data Modeling,shipped,2022-07-22
21b24ce3-1f20-4ca8-8ab1-07af4dd81767,b404131b-efa9-43ee-b00e-7617e9aa802d,Smart builder for Data Modeling #21,Smart builder capability in Data Modeling,planned,
