id,feature_id,title,description,status,is_blocking,priority,raw_input_count,created_at,updated_at
814364f2-9ef2-4e89-84fc-63e2af4ca925,d4cf7379-9d8e-4d16-8594-8a5f3183a6f2,Enterprise SSO via SAML for IT-gated accounts,Enterprise customers require SAML SSO as a hard IT requirement before they can approve Holistics. Blocking 4 active deals.,planned,true,critical,14,2025-08-27 03:54:14,2026-01-25 03:54:14
60dfdbb4-9e93-4036-aa56-67bfc88fe506,cf167202-9b1e-40df-99e3-52bc692f9a62,"Mask PII columns by role (email, phone, national ID)",Customers handling regulated data need to hide raw PII from analysts. Column masking shipped — follow up with accounts.,shipped,false,high,9,2025-10-10 03:54:14,2026-02-24 03:54:14
2cac011f-5678-4db7-9faf-bc126dfe5478,02ddeb1c-9a29-449d-9a44-b567af38e268,Embed dashboards without requiring a Holistics login,SaaS customers want to embed dashboards in their own products without end-users needing a Holistics account.,planned,true,high,8,2025-09-26 03:54:14,2026-02-07 03:54:14
2e09e0c0-a965-42eb-98a4-d84f6547091f,902f554f-4769-4f45-85a1-018776af9d70,Multi-tenant RLS — each client sees only their own data,SaaS companies need per-tenant row filtering in embedded analytics. Shipped — follow up with pre-sale contacts.,shipped,false,high,11,2025-05-27 03:54:14,2025-10-27 03:54:14
9e1115b5-a5ca-4a99-ae17-49e8ce9e2539,d7695d2b-5c66-4047-9a3b-48ce077858c6,"User-level column grants, independent of role",Grant a specific individual access to a sensitive column without promoting their entire role.,planned,false,medium,5,2025-10-26 03:54:14,2026-01-25 03:54:14
257716af-53dc-4054-8c50-8f114320d353,3303d3a3-ce76-477f-9dba-643f3bb4c5f3,Trigger cache refresh via API after pipeline runs,Data teams want to invalidate the cache via API after dbt or Airflow pipelines complete.,open,false,medium,7,2025-12-25 03:54:14,2025-12-25 03:54:14
6b859030-aefb-44ed-a89f-1719f133543e,9067fac3-479a-4757-9cf4-cebf26928823,Remove Holistics branding from embedded dashboards,Customers embedding dashboards in their own products need logos and domain hidden for brand consistency.,open,true,high,6,2025-11-09 03:54:14,2025-11-09 03:54:14
25f93f9c-1e67-47ae-a406-3198e8e1705c,6e8258a0-feaa-49a4-a4d9-743482d50c3d,Pre-built starter templates for SaaS and fintech,New customers struggle to build their first dashboard from scratch. Curated templates shorten time-to-value.,planned,false,medium,8,2025-10-10 03:54:14,2026-01-25 03:54:14
ca7c1909-2804-44dc-88a7-1468fa509335,,Excel / CSV export from any report or table,The single most common ask from finance and ops teams. One-click export to Excel or CSV. Currently requires an API workaround.,open,true,critical,18,2025-07-28 03:54:14,2026-02-07 03:54:14
a45a177b-2e29-4cad-956b-ed8f2ac15b26,,Scheduled email delivery for individual reports,Schedule a single report as a PDF or CSV on a daily/weekly cadence — not just full dashboard snapshots.,open,false,medium,9,2025-09-10 03:54:14,2026-01-25 03:54:14
caf53588-b83c-450c-bb2b-0203d76ccb5e,0a51c01f-3cef-443a-9365-d0cc6e8d0bad,Pre-aggregate multi-join P&L reports for finance teams,Finance P&L dashboards with 5+ joined tables time out at scale. Pre-aggregation makes them usable for month-end reporting.,planned,true,high,6,2025-10-26 03:54:14,2026-01-08 03:54:14
cd38785e-74a3-476c-a520-dc3dae23f68d,,Git sync support for GitLab repositories,"Several customers use GitLab, not GitHub. Current git sync only works with GitHub.",deferred,false,low,4,2025-06-28 03:54:14,2025-09-26 03:54:14
54ffc057-33f4-4aef-aeb6-5c964a790077,9422fe78-85aa-44b7-a2ac-69681cb55ac4,Support workflow for Public dashboard links #0,Support workflow in the context of Public dashboard links,planned,false,critical,6,2020-03-09 03:54:14,2026-01-05 03:54:14
14b10cfa-311d-4252-a712-27ce605c9ffa,d812d7d2-58f7-474b-8c8b-aa919bde16de,Add workflow for Password-protected embeds #1,Add workflow in the context of Password-protected embeds,open,false,critical,1,2022-06-27 03:54:14,2025-12-01 03:54:14
461183cd-f3c2-4f78-8a59-6860ed6cdbb5,9067fac3-479a-4757-9cf4-cebf26928823,Improve workflow for White-label embedding #2,Improve workflow in the context of White-label embedding,open,false,medium,9,2020-01-13 03:54:14,2026-02-06 03:54:14
6e70d8ab-175f-4ac1-a947-0cacf0266428,0ffc87bf-0249-47b3-9494-50c57e17ee24,Fix workflow for Shared folders #3,Fix workflow in the context of Shared folders,open,false,medium,8,2026-01-25 03:54:14,2026-02-19 03:54:14
330f0c72-e9ab-44f8-bf32-916f8992fd18,6e8258a0-feaa-49a4-a4d9-743482d50c3d,Enable workflow for Dashboard templates #4,Enable workflow in the context of Dashboard templates,open,false,low,11,2021-05-23 03:54:14,2026-03-31 03:54:14
f56a136f-29e3-4ce3-85ba-948a1b04ea65,cf167202-9b1e-40df-99e3-52bc692f9a62,Enhance workflow for Column masking #5,Enhance workflow in the context of Column masking,open,false,medium,1,2023-08-17 03:54:14,2025-12-21 03:54:14
04981fc9-9f27-48c9-b0ce-d74b1337da40,d7695d2b-5c66-4047-9a3b-48ce077858c6,Optimize workflow for Column-level permissions #6,Optimize workflow in the context of Column-level permissions,open,false,medium,10,2022-12-18 03:54:14,2025-12-05 03:54:14
c429f28a-57a4-4dd3-88b6-e798bf6abb7f,902f554f-4769-4f45-85a1-018776af9d70,Rework workflow for Dynamic row-level security #7,Rework workflow in the context of Dynamic row-level security,open,false,low,9,2023-09-12 03:54:14,2025-12-27 03:54:14
4412baa7-6b98-46d4-b741-e8f9dccaa8a3,cac5e419-a676-4dd5-8007-573a597f2dc9,Migrate workflow for User attribute filters #8,Migrate workflow in the context of User attribute filters,open,true,medium,1,2021-04-09 03:54:14,2025-12-31 03:54:14
e6ef7da3-5d35-4dcd-9707-5ff03eb5c78b,84e440f8-cb31-4200-a100-112eaf399229,Extend workflow for Smart query caching #9,Extend workflow in the context of Smart query caching,workaround,false,medium,2,2019-10-09 03:54:14,2026-01-22 03:54:14
fa4534e2-8472-4368-bbf0-f99adf541d39,0a51c01f-3cef-443a-9365-d0cc6e8d0bad,Support configuration for Pre-built aggregates #10,Support configuration in the context of Pre-built aggregates,workaround,false,medium,2,2024-12-04 03:54:14,2025-09-13 03:54:14
b55d4220-c969-45ea-86ee-df0c5fc1d5bd,7a5f4404-2962-43f6-bb47-fb71bb5e355b,Add configuration for BigQuery connector #11,Add configuration in the context of BigQuery connector,planned,false,medium,7,2022-01-29 03:54:14,2025-11-08 03:54:14
816e3d66-5bf3-40e7-9627-28df31b616d2,5e4f59d2-a2c0-4d51-b8a7-b9effabb7f1b,Improve configuration for Snowflake connector #12,Improve configuration in the context of Snowflake connector,workaround,false,high,0,2021-08-01 03:54:14,2026-01-24 03:54:14
9bc19e26-2b3b-439e-be21-c8bdfdc4d075,69533b0f-8ed1-4907-b6b6-3219ac6795cc,Fix configuration for Redshift connector #13,Fix configuration in the context of Redshift connector,workaround,false,medium,12,2025-08-01 03:54:14,2026-01-20 03:54:14
a8342096-bae9-4d14-9ed5-f8d4fcd55aa2,02ddeb1c-9a29-449d-9a44-b567af38e268,Enable configuration for Embedding SDK #14,Enable configuration in the context of Embedding SDK,planned,false,medium,11,2024-12-28 03:54:14,2026-03-12 03:54:14
9fdb4623-109a-494e-9770-aa3274892804,3303d3a3-ce76-477f-9dba-643f3bb4c5f3,Enhance configuration for REST API #15,Enhance configuration in the context of REST API,planned,false,medium,5,2025-12-01 03:54:14,2026-03-23 03:54:14
7c03ccdb-5494-4526-afb8-2a2e070ad347,d4cf7379-9d8e-4d16-8594-8a5f3183a6f2,Optimize configuration for SAML 2.0 integration #16,Optimize configuration in the context of SAML 2.0 integration,planned,false,high,9,2022-04-23 03:54:14,2025-11-25 03:54:14
12117bf6-ca29-46db-b7ec-48aa28f0cb04,089deb50-a8a2-481a-814a-9228580f569b,Rework configuration for User activity log #17,Rework configuration in the context of User activity log,wont_do,false,high,12,2022-09-23 03:54:14,2025-11-05 03:54:14
c6e6f4ec-2576-4202-8853-0b063caffbcd,0784f03e-d991-43e4-9a73-52e082464570,Migrate configuration for Advanced editor for Data Modeling #0 #18,Migrate configuration in the context of Advanced editor for Data Modeling #0,open,false,medium,11,2024-02-27 03:54:14,2025-12-27 03:54:14
ab2fcc9b-e862-4fa5-ad25-187b2ca8c591,a2dbfea5-feef-4b25-ada3-1891850456cc,Extend configuration for Smart editor for Data Modeling #1 #19,Extend configuration in the context of Smart editor for Data Modeling #1,planned,false,medium,7,2025-01-23 03:54:14,2026-03-22 03:54:14
5c8f0e7d-c6d3-4e5c-9281-0d7717591b02,6aaee075-761a-4ad3-8818-3b4032d946e5,Support rendering for Bulk editor for Data Modeling #2 #20,Support rendering in the context of Bulk editor for Data Modeling #2,open,false,low,2,2020-03-06 03:54:14,2025-12-22 03:54:14
7bd2c5b8-6006-4f54-bd90-ad6695f74214,8197d09d-1f46-428d-8deb-b99822098590,Add rendering for Custom editor for Data Modeling #3 #21,Add rendering in the context of Custom editor for Data Modeling #3,workaround,false,medium,5,2020-07-08 03:54:14,2026-01-11 03:54:14
76deb014-ef36-4891-8d43-e6b0614e949d,c5a4f158-438d-485a-9788-c463b41008b9,Improve rendering for Auto editor for Data Modeling #4 #22,Improve rendering in the context of Auto editor for Data Modeling #4,open,false,low,3,2022-07-19 03:54:14,2025-10-04 03:54:14
f65c3b80-19ad-41d0-a938-ffa5a98576ca,04ca488c-b9d4-46e1-a91c-77c14601ea54,Fix rendering for Enhanced editor for Data Modeling #5 #23,Fix rendering in the context of Enhanced editor for Data Modeling #5,planned,false,high,12,2024-10-28 03:54:14,2026-03-11 03:54:14
a160ebf5-a7cb-407f-ac53-1cf5c8af00b9,d0d0152d-31d3-4286-812a-654f7816d732,Enable rendering for Inline editor for Data Modeling #6 #24,Enable rendering in the context of Inline editor for Data Modeling #6,open,false,medium,7,2021-10-31 03:54:14,2025-10-06 03:54:14
0586aacd-bff0-4627-8bd9-8ad8c1878e53,049f99d1-a1a9-4901-b7d9-285397c78bc0,Enhance rendering for Live editor for Data Modeling #7 #25,Enhance rendering in the context of Live editor for Data Modeling #7,wont_do,true,low,3,2024-07-09 03:54:14,2026-03-24 03:54:14
06619e59-6cdf-4de1-b64a-827fbfc01123,fdc30e23-60d4-48ea-b149-ed0155ffa616,Optimize rendering for Cached editor for Data Modeling #8 #26,Optimize rendering in the context of Cached editor for Data Modeling #8,planned,false,high,0,2024-10-03 03:54:14,2026-03-18 03:54:14
52cf50a8-75e4-4503-81c3-cb998d4dcd88,d2312e54-2808-44f3-869b-5cd9ff1fb847,Rework rendering for Async editor for Data Modeling #9 #27,Rework rendering in the context of Async editor for Data Modeling #9,workaround,false,high,4,2020-08-07 03:54:14,2026-02-25 03:54:14
165874e3-2709-4885-8b0a-e1f11ca546e7,c2b8d14d-2787-48d2-8c6b-796121d57fc8,Migrate rendering for Advanced viewer for Data Modeling #10 #28,Migrate rendering in the context of Advanced viewer for Data Modeling #10,planned,false,medium,12,2019-09-12 03:54:14,2026-01-01 03:54:14
4d4893b9-a5e5-4104-83dc-67e488388e66,31e69ba2-33bb-4922-9c03-7ee266a71629,Extend rendering for Smart viewer for Data Modeling #11 #29,Extend rendering in the context of Smart viewer for Data Modeling #11,shipped,false,medium,10,2025-02-16 03:54:14,2026-02-04 03:54:14
a23828ff-9b9e-4e10-a2f7-422e9e3aedf5,fac5d527-fe79-4abb-a077-5a70bb94e868,Support validation for Bulk viewer for Data Modeling #12 #30,Support validation in the context of Bulk viewer for Data Modeling #12,planned,false,critical,11,2020-03-06 03:54:14,2025-10-18 03:54:14
ec8312e8-e524-47c9-81bb-13fdc6333e61,b303de05-d70b-4bcf-a466-cc77f5bf37a8,Add validation for Custom viewer for Data Modeling #13 #31,Add validation in the context of Custom viewer for Data Modeling #13,open,false,medium,0,2021-07-14 03:54:14,2026-02-17 03:54:14
589e4e02-00eb-4fc1-b948-226213dced4f,21f47d5a-64b1-4579-82ab-a9fd63dab59a,Improve validation for Auto viewer for Data Modeling #14 #32,Improve validation in the context of Auto viewer for Data Modeling #14,open,false,medium,12,2024-04-19 03:54:14,2025-12-10 03:54:14
9872902c-e42d-48e9-817a-42215580a317,04bb0c66-d8e6-419e-b9a7-eede01c944c4,Fix validation for Enhanced viewer for Data Modeling #15 #33,Fix validation in the context of Enhanced viewer for Data Modeling #15,planned,false,medium,9,2019-09-17 03:54:14,2025-12-04 03:54:14
f5293fc5-f16e-49b6-be09-3c716d62b4be,59dec10a-7962-4fbd-aa4e-53ff8331afbf,Enable validation for Inline viewer for Data Modeling #16 #34,Enable validation in the context of Inline viewer for Data Modeling #16,planned,false,medium,0,2022-01-21 03:54:14,2026-01-12 03:54:14
8e96f853-408c-479d-b9f9-05619e1206ba,666851d7-b2b2-4ac3-b248-15a8c781ba04,Enhance validation for Live viewer for Data Modeling #17 #35,Enhance validation in the context of Live viewer for Data Modeling #17,planned,false,critical,1,2021-03-18 03:54:14,2025-10-20 03:54:14
12d8198b-8e93-4067-81d2-6f69b72f4163,0182405a-411f-49ba-80b4-71fc8928a8e6,Optimize validation for Cached viewer for Data Modeling #18 #36,Optimize validation in the context of Cached viewer for Data Modeling #18,workaround,false,high,4,2020-03-12 03:54:14,2025-11-22 03:54:14
83c6d5f9-0b36-4561-9352-e89233432ea9,f6920483-e282-4c21-b8b6-2dd62ebdb295,Rework validation for Async viewer for Data Modeling #19 #37,Rework validation in the context of Async viewer for Data Modeling #19,planned,false,low,11,2021-05-07 03:54:14,2026-01-21 03:54:14
cff908c6-3c42-46e0-9a0a-753c529229b0,3c37cd42-49a7-4b8e-9724-e4d2ed198ada,Migrate validation for Advanced builder for Data Modeling #20 #38,Migrate validation in the context of Advanced builder for Data Modeling #20,open,false,low,2,2025-01-07 03:54:14,2026-02-26 03:54:14
0e499b3c-f7d7-499f-b4c2-3288780d571f,21b24ce3-1f20-4ca8-8ab1-07af4dd81767,Extend validation for Smart builder for Data Modeling #21 #39,Extend validation in the context of Smart builder for Data Modeling #21,planned,false,high,12,2020-09-29 03:54:14,2025-09-20 03:54:14
435c9647-86bd-4804-b8dd-e5ca6dccbfa0,2f0d0d6f-aaee-41c6-9a78-d11bee0edb47,Support caching for Bulk builder for Data Modeling #22 #40,Support caching in the context of Bulk builder for Data Modeling #22,planned,false,high,8,2023-09-17 03:54:14,2025-11-06 03:54:14
54642637-2cac-4a26-ab07-d2e1ca5c997a,7a0d85a4-8f0f-44de-8131-b8cd71769c8d,Add caching for Custom builder for Data Modeling #23 #41,Add caching in the context of Custom builder for Data Modeling #23,open,false,medium,0,2019-07-18 03:54:14,2025-11-03 03:54:14
c9a1309d-031a-48f7-b20c-c2260d6f7bb4,d5245612-18f3-488a-8e52-f2dca20167a8,Improve caching for Auto builder for Data Modeling #24 #42,Improve caching in the context of Auto builder for Data Modeling #24,planned,false,high,1,2019-12-25 03:54:14,2025-12-30 03:54:14
a7fe1f93-d615-42b3-9493-d2d1fb40ba60,a503a41b-0edf-48ec-9b9f-32beaa36d74d,Fix caching for Enhanced builder for Visualization #25 #43,Fix caching in the context of Enhanced builder for Visualization #25,planned,true,high,11,2022-12-23 03:54:14,2026-01-24 03:54:14
c2deaa12-f65e-4e06-9bc3-f064b14727d1,52842893-99cd-4466-88e0-9a3618d6159e,Enable caching for Inline builder for Visualization #26 #44,Enable caching in the context of Inline builder for Visualization #26,open,true,medium,10,2019-07-18 03:54:14,2026-02-27 03:54:14
6d18d1de-313a-407e-b1bf-2cd95c76ebb1,497cde91-32dd-418b-8fd2-9cf2aa8b9333,Enhance caching for Live builder for Visualization #27 #45,Enhance caching in the context of Live builder for Visualization #27,planned,false,medium,12,2020-06-20 03:54:14,2026-02-12 03:54:14
890a6db8-e3f0-477c-979e-3bd7c5f42eec,bf059a0d-41de-4f6a-9117-74b6d5d3e120,Optimize caching for Cached builder for Visualization #28 #46,Optimize caching in the context of Cached builder for Visualization #28,shipped,false,medium,12,2021-07-06 03:54:14,2026-01-26 03:54:14
