id,deal_id,stage,entered_at,exited_at
4631981d-ad47-4a3c-8a8b-ad776a909563,5d74aa43-7cd7-42a7-9686-f018a98248fa,qualifying,2022-04-22 01:33:40,2022-04-25 01:33:40
53b3ff08-cd75-4ccc-aa8b-686421dd713b,5d74aa43-7cd7-42a7-9686-f018a98248fa,validating,2022-04-25 01:33:40,2022-05-10 01:33:40
4809d227-2793-4069-87d0-4f26a127c4ed,5d74aa43-7cd7-42a7-9686-f018a98248fa,progressing,2022-05-10 01:33:40,2022-05-25 01:33:40
484fb8ef-ce76-440d-a4b1-3564dc59484e,5d74aa43-7cd7-42a7-9686-f018a98248fa,focus,2022-05-25 01:33:40,2022-06-08 01:33:40
959ffab7-7834-44b0-8060-613e5058a82f,5d74aa43-7cd7-42a7-9686-f018a98248fa,negotiating,2022-06-08 01:33:40,2022-05-15 01:33:40
d429572a-6499-40ad-a9d2-a8d80b6cc0cf,9af4d33d-e244-452d-8d03-0c37f1ebdc16,qualifying,2022-09-20 01:33:40,2022-09-23 01:33:40
88367e01-f670-4104-be07-ee1e1e6e5eb0,9af4d33d-e244-452d-8d03-0c37f1ebdc16,validating,2022-09-23 01:33:40,2022-10-03 01:33:40
98b3d2af-ac60-455e-a3b4-0d18b713e7f9,9af4d33d-e244-452d-8d03-0c37f1ebdc16,progressing,2022-10-03 01:33:40,2022-11-18 01:33:40
747573e2-e2c5-46b0-8257-2d41bdef745c,24ba67d7-dc60-40e5-8a4a-6b8782bebf33,qualifying,2024-04-15 01:33:40,2024-04-23 01:33:40
6508a581-ac24-4797-aa3f-830a2e683f9b,24ba67d7-dc60-40e5-8a4a-6b8782bebf33,validating,2024-04-23 01:33:40,2024-05-10 01:33:40
a1a36f95-0c6a-48a1-80df-198224087c14,24ba67d7-dc60-40e5-8a4a-6b8782bebf33,progressing,2024-05-10 01:33:40,2024-06-02 01:33:40
0ce952e3-45c3-4c98-a6fd-b1fbfd43d869,2e6e569c-b45d-4a34-a028-9efeaf65a457,qualifying,2025-02-04 01:33:40,2025-02-07 01:33:40
d4dfef93-0be1-43ae-8265-8c5cd5612042,2e6e569c-b45d-4a34-a028-9efeaf65a457,validating,2025-02-07 01:33:40,2025-02-24 01:33:40
63191ad8-127e-4408-b98e-f1f52132b636,2e6e569c-b45d-4a34-a028-9efeaf65a457,progressing,2025-02-24 01:33:40,2025-03-17 01:33:40
0546c6f2-fd42-4fc7-a981-00965b2584e7,2e6e569c-b45d-4a34-a028-9efeaf65a457,focus,2025-03-17 01:33:40,2025-04-01 01:33:40
177189d2-efde-4948-9f4f-4bc7395a7a47,2e6e569c-b45d-4a34-a028-9efeaf65a457,negotiating,2025-04-01 01:33:40,2025-02-28 01:33:40
1841232d-ff94-4e15-b529-e4c52ca46b01,feaa122b-29b5-4ec1-ade4-2e770fb6f579,qualifying,2025-09-10 01:33:40,2025-09-24 01:33:40
c81e47d1-800b-4972-b086-e9199aaf2bbf,feaa122b-29b5-4ec1-ade4-2e770fb6f579,validating,2025-09-24 01:33:40,2025-10-14 01:33:40
0a3f9fef-7b2c-4a1d-bb7a-1551a9c3dec5,feaa122b-29b5-4ec1-ade4-2e770fb6f579,progressing,2025-10-14 01:33:40,2025-10-18 01:33:40
07420950-78f0-4809-b1b1-e5ce60483e3d,a6e73dbf-0dc8-46ab-83fb-627b1c5df84d,qualifying,2026-01-09 01:33:40,2026-01-19 01:33:40
f55d588e-43f9-48f1-bc46-623b21934d60,a6e73dbf-0dc8-46ab-83fb-627b1c5df84d,validating,2026-01-19 01:33:40,2026-01-26 01:33:40
e64b9f9b-4728-47fa-a021-cfc67b4e47c5,a6e73dbf-0dc8-46ab-83fb-627b1c5df84d,progressing,2026-01-26 01:33:40,2026-02-16 01:33:40
b10112b6-ecec-4ad0-8d50-88c07356222d,a6e73dbf-0dc8-46ab-83fb-627b1c5df84d,focus,2026-02-16 01:33:40,2026-03-04 01:33:40
0214b60e-fd62-42f3-bbb6-a018db9e2815,8857ab74-ce44-4a70-a738-3c0bb390a0ce,qualifying,2022-05-23 01:33:40,2022-05-28 01:33:40
00e9f1d2-d6fe-4dea-bce8-694ce6fc954b,8857ab74-ce44-4a70-a738-3c0bb390a0ce,validating,2022-05-28 01:33:40,2022-06-06 01:33:40
97037187-d342-40f4-8078-9f066c14fcfc,8857ab74-ce44-4a70-a738-3c0bb390a0ce,progressing,2022-06-06 01:33:40,2022-06-17 01:33:40
ee027ee7-24d3-4d83-9993-20e8a9764a65,02da0177-ebde-4439-baf8-245adb87466e,qualifying,2022-08-30 01:33:40,2022-09-03 01:33:40
77ec43ea-9e4e-46a5-bae5-50d00227814c,02da0177-ebde-4439-baf8-245adb87466e,validating,2022-09-03 01:33:40,2022-09-13 01:33:40
4e06380a-ba83-4763-b3e5-a5c215d5446a,02da0177-ebde-4439-baf8-245adb87466e,progressing,2022-09-13 01:33:40,2022-11-09 01:33:40
ddccb08c-6cad-439c-b948-ab6df9da7755,3872ed85-f0cb-4b63-ac8f-8b8f927bdfb7,qualifying,2024-07-15 01:33:40,2024-07-26 01:33:40
